seqnames	start	end	width	strand	depth	quantiled_depth	GC	normed_depth	ref_depth
chr16	82230341	82230442	102	*	17	23	0.382352941176471	19	29.4210526315789
chr16	84511337	84511438	102	*	17	23	0.57843137254902	33	29.4210526315789
chr16	84855912	84856013	102	*	35	45	0.441176470588235	37	29.4210526315789
chr16	84926769	84926870	102	*	14	19	0.588235294117647	30	29.4210526315789
chr17	5598517	5598618	102	*	15	20	0.5	4	37.1764705882353
chr17	7285780	7285881	102	*	70	88	0.5	72	37.1764705882353
chr17	8378881	8378982	102	*	30	37	0.343137254901961	38	37.1764705882353
chr17	18055178	18055279	102	*	13	18	0.627450980392157	32	37.1764705882353
chr17	30592154	30592255	102	*	35	45	0.42156862745098	42	37.1764705882353
chr17	38935761	38935862	102	*	36	47	0.529411764705882	43	37.1764705882353
chr17	43183057	43183158	102	*	20	25	0.509803921568627	12	37.1764705882353
chr17	46060790	46060891	102	*	12	15	0.607843137254902	28	37.1764705882353
chr17	48174857	48174958	102	*	25	31	0.607843137254902	44	37.1764705882353
chr17	48761054	48761155	102	*	44	56	0.647058823529412	73	37.1764705882353
chr17	55707777	55707878	102	*	9	11	0.53921568627451	12	37.1764705882353
chr17	57287403	57287504	102	*	12	15	0.617647058823529	28	37.1764705882353
chr17	57480644	57480745	102	*	51	70	0.401960784313726	66	37.1764705882353
chr17	67692311	67692412	102	*	33	40	0.372549019607843	37	37.1764705882353
chr17	69116179	69116280	102	*	15	20	0.441176470588235	12	37.1764705882353
chr17	69367260	69367361	102	*	38	51	0.470588235294118	33	37.1764705882353
chr17	70915548	70915649	102	*	49	69	0.450980392156863	56	37.1764705882353
chr18	4928520	4928621	102	*	6	8	0.313725490196078	15	29.9130434782609
chr18	8679771	8679872	102	*	8	10	0.549019607843137	15	29.9130434782609
chr18	11075609	11075710	102	*	31	39	0.392156862745098	35	29.9130434782609
chr18	21739674	21739775	102	*	47	64	0.441176470588235	56	29.9130434782609
chr18	23082362	23082463	102	*	10	12	0.323529411764706	18	29.9130434782609
chr18	24125633	24125734	102	*	10	12	0.372549019607843	9	29.9130434782609
chr18	24514663	24514764	102	*	30	37	0.362745098039216	34	29.9130434782609
chr18	25362170	25362271	102	*	13	18	0.323529411764706	24	29.9130434782609
chr18	31263750	31263851	102	*	14	19	0.343137254901961	20	29.9130434782609
chr18	32916111	32916269	159	*	24	30	0.389937106918239	26	29.9130434782609
chr18	34184042	34184143	102	*	19	24	0.568627450980392	32	29.9130434782609
chr18	39805487	39805588	102	*	17	23	0.313725490196078	30	29.9130434782609
chr18	42958341	42958442	102	*	17	23	0.352941176470588	22	29.9130434782609
chr18	43248458	43248559	102	*	32	40	0.431372549019608	36	29.9130434782609
chr18	47209092	47209193	102	*	37	48	0.549019607843137	53	29.9130434782609
chr18	47809820	47809921	102	*	23	28	0.598039215686274	40	29.9130434782609
chr18	55161418	55161519	102	*	37	48	0.372549019607843	45	29.9130434782609
chr18	55963457	55963558	102	*	25	31	0.509803921568627	18	29.9130434782609
chr18	57934116	57934217	102	*	15	20	0.343137254901961	21	29.9130434782609
chr18	59650666	59650767	102	*	23	28	0.372549019607843	25	29.9130434782609
chr18	60388772	60388873	102	*	22	27	0.245098039215686	43	29.9130434782609
chr18	63107118	63107219	102	*	45	60	0.450980392156863	47	29.9130434782609
chr18	69135718	69135819	102	*	13	18	0.323529411764706	24	29.9130434782609
